Invoice,StockCode,Description,Quantity,InvoiceDate,Price,CustomerID,Country
537329,22633,HAND WARMER UNION JACK,23,2026-02-05 12:59:00,5.15,13913,France
537330,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,45,2026-02-03 05:35:00,1.88,15223,Spain
537331,85123A,WHITE HANGING HEART T-LIGHT HOLDER,27,2026-02-02 20:44:00,3.56,15643,Germany
537332,22633,HAND WARMER UNION JACK,16,2026-02-11 10:31:00,5.07,15078,Germany
537333,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2026-02-20 02:38:00,9.3,14217,Italy
537334,71053,WHITE METAL LANTERN,39,2026-02-22 15:50:00,6.74,16334,Spain
537335,85123A,WHITE HANGING HEART T-LIGHT HOLDER,25,2026-02-22 06:12:00,7.18,15592,Italy
537336,84406B,CREAM CUPID HEARTS COAT HANGER,18,2026-02-01 08:33:00,3.77,16462,France
537337,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2026-02-07 23:12:00,7.87,13956,UK
537338,85123A,WHITE HANGING HEART T-LIGHT HOLDER,27,2026-02-16 08:00:00,6.28,15804,Italy
537339,71053,WHITE METAL LANTERN,41,2026-02-03 12:12:00,7.34,14223,France
537340,71053,WHITE METAL LANTERN,15,2026-02-04 17:25:00,6.68,16592,Germany
537341,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,17,2026-02-24 16:52:00,1.71,17807,Germany
537342,71053,WHITE METAL LANTERN,6,2026-02-22 21:18:00,9.12,15815,Spain
537343,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,25,2026-02-16 15:13:00,4.62,14714,Italy
537344,84406B,CREAM CUPID HEARTS COAT HANGER,37,2026-02-13 13:07:00,1.28,13563,UK
537345,84406B,CREAM CUPID HEARTS COAT HANGER,40,2026-02-04 08:16:00,6.71,16226,France
537346,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,50,2026-02-03 12:24:00,9.17,13172,Germany
537347,22633,HAND WARMER UNION JACK,27,2026-02-19 23:43:00,3.28,12606,France
537348,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,38,2026-02-21 14:41:00,1.99,17015,Italy
537349,71053,WHITE METAL LANTERN,23,2026-02-19 12:27:00,5.82,14041,Italy
537350,71053,WHITE METAL LANTERN,33,2026-02-19 15:10:00,3.25,15287,UK
537351,71053,WHITE METAL LANTERN,16,2026-02-13 19:56:00,1.0,12099,France
537352,71053,WHITE METAL LANTERN,50,2026-02-23 12:53:00,3.36,12260,Spain
537353,71053,WHITE METAL LANTERN,46,2026-02-07 06:51:00,7.76,12552,Spain
537354,84406B,CREAM CUPID HEARTS COAT HANGER,41,2026-02-07 08:07:00,5.68,16314,Spain
537355,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,49,2026-02-10 11:41:00,8.73,13351,UK
537356,84406B,CREAM CUPID HEARTS COAT HANGER,30,2026-02-22 12:12:00,6.42,13066,UK
537357,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,21,2026-02-24 11:04:00,6.41,13598,Spain
537358,84406B,CREAM CUPID HEARTS COAT HANGER,25,2026-02-06 23:42:00,7.28,17727,UK
537359,84406B,CREAM CUPID HEARTS COAT HANGER,33,2026-02-18 23:44:00,6.9,15004,UK
537360,71053,WHITE METAL LANTERN,10,2026-02-17 20:46:00,1.69,15463,UK
537361,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,36,2026-02-15 01:11:00,3.33,14977,Germany
537362,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,23,2026-02-20 19:05:00,9.4,13703,UK
537363,71053,WHITE METAL LANTERN,32,2026-02-23 10:36:00,8.43,15403,Germany
537364,22633,HAND WARMER UNION JACK,28,2026-02-11 05:08:00,4.72,14296,Germany
537365,22633,HAND WARMER UNION JACK,6,2026-02-02 13:32:00,5.83,17501,Spain
537366,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,47,2026-02-15 22:41:00,5.83,14332,UK
537367,84406B,CREAM CUPID HEARTS COAT HANGER,12,2026-02-19 20:45:00,2.7,12954,Germany
537368,85123A,WHITE HANGING HEART T-LIGHT HOLDER,42,2026-02-19 15:20:00,8.09,17265,Germany
537369,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,19,2026-02-23 19:44:00,1.98,13062,Italy
537370,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,32,2026-02-08 10:48:00,6.6,16370,Italy
537371,84406B,CREAM CUPID HEARTS COAT HANGER,3,2026-02-06 20:26:00,8.64,12711,Spain
537372,22633,HAND WARMER UNION JACK,26,2026-02-17 10:14:00,5.7,16442,France
537373,84406B,CREAM CUPID HEARTS COAT HANGER,18,2026-02-22 20:36:00,8.31,16726,Spain
537374,22633,HAND WARMER UNION JACK,23,2026-02-15 22:47:00,3.81,15063,Italy
537375,85123A,WHITE HANGING HEART T-LIGHT HOLDER,15,2026-02-09 08:01:00,5.1,14319,France
537376,22633,HAND WARMER UNION JACK,28,2026-02-18 19:41:00,5.6,17901,Spain
537377,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,46,2026-02-11 17:16:00,9.35,15829,UK
537378,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,7,2026-02-19 06:55:00,9.28,12122,UK
537379,84406B,CREAM CUPID HEARTS COAT HANGER,43,2026-02-07 04:02:00,9.0,12610,Germany
537380,85123A,WHITE HANGING HEART T-LIGHT HOLDER,28,2026-02-22 03:26:00,1.87,13061,France
537381,71053,WHITE METAL LANTERN,36,2026-02-17 16:02:00,8.13,17830,Germany
537382,71053,WHITE METAL LANTERN,40,2026-02-06 19:57:00,6.43,16717,Spain
537383,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,19,2026-02-16 16:19:00,8.22,16995,UK
537384,22633,HAND WARMER UNION JACK,41,2026-02-04 19:46:00,1.55,15282,France
537385,84406B,CREAM CUPID HEARTS COAT HANGER,9,2026-02-21 17:29:00,2.84,15030,Italy
537386,85123A,WHITE HANGING HEART T-LIGHT HOLDER,21,2026-02-13 11:47:00,6.28,17095,Germany
537387,71053,WHITE METAL LANTERN,19,2026-02-05 22:38:00,8.38,17076,Spain
537388,71053,WHITE METAL LANTERN,6,2026-02-07 18:03:00,6.07,14892,Germany
537389,22633,HAND WARMER UNION JACK,33,2026-02-25 11:02:00,5.03,13002,Italy
537390,84406B,CREAM CUPID HEARTS COAT HANGER,28,2026-02-25 18:16:00,10.0,12744,Spain
537391,84406B,CREAM CUPID HEARTS COAT HANGER,21,2026-02-06 12:24:00,4.1,12959,Germany
537392,71053,WHITE METAL LANTERN,12,2026-02-02 12:50:00,1.71,17206,Germany
537393,22633,HAND WARMER UNION JACK,16,2026-02-14 09:14:00,4.27,13982,Spain
537394,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,7,2026-02-15 18:16:00,3.59,12686,Italy
537395,71053,WHITE METAL LANTERN,33,2026-02-04 06:51:00,9.5,12974,Germany
537396,84406B,CREAM CUPID HEARTS COAT HANGER,20,2026-02-16 06:35:00,7.16,12488,UK
537397,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,36,2026-02-11 14:36:00,5.41,12923,Spain
537398,85123A,WHITE HANGING HEART T-LIGHT HOLDER,40,2026-02-05 19:38:00,2.4,14202,Spain
537399,22633,HAND WARMER UNION JACK,44,2026-02-03 10:50:00,6.73,17505,Italy
537400,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2026-02-26 06:42:00,5.19,13823,Italy
537401,71053,WHITE METAL LANTERN,8,2026-02-04 11:09:00,2.72,13313,Germany
537402,71053,WHITE METAL LANTERN,28,2026-02-07 12:20:00,5.59,17845,Italy
537403,22633,HAND WARMER UNION JACK,36,2026-02-22 15:23:00,2.08,17465,Germany
537404,22633,HAND WARMER UNION JACK,6,2026-02-17 01:42:00,7.48,15607,France
537405,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,23,2026-02-03 05:11:00,1.33,17961,France
537406,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,50,2026-02-18 19:38:00,6.55,13120,Germany
537407,71053,WHITE METAL LANTERN,20,2026-02-23 17:38:00,4.63,15831,UK
537408,85123A,WHITE HANGING HEART T-LIGHT HOLDER,45,2026-02-19 06:01:00,6.95,15160,Spain
537409,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,18,2026-02-15 08:36:00,5.86,12969,Germany
537410,22633,HAND WARMER UNION JACK,4,2026-02-02 08:18:00,6.6,16497,Germany
537411,71053,WHITE METAL LANTERN,24,2026-02-06 10:21:00,4.32,13283,Spain
537412,84406B,CREAM CUPID HEARTS COAT HANGER,41,2026-02-16 13:54:00,1.53,15605,UK
537413,84406B,CREAM CUPID HEARTS COAT HANGER,14,2026-02-03 05:39:00,6.32,12417,UK
537414,71053,WHITE METAL LANTERN,34,2026-02-03 23:57:00,1.33,13027,Germany
537415,22633,HAND WARMER UNION JACK,48,2026-02-22 23:39:00,5.62,17590,Germany
537416,71053,WHITE METAL LANTERN,44,2026-02-06 04:25:00,4.71,16284,Germany
537417,84406B,CREAM CUPID HEARTS COAT HANGER,46,2026-02-26 05:06:00,8.62,15340,UK
537418,22633,HAND WARMER UNION JACK,30,2026-02-19 06:24:00,5.16,16609,Italy
537419,85123A,WHITE HANGING HEART T-LIGHT HOLDER,47,2026-02-16 14:02:00,9.44,16292,Germany
537420,85123A,WHITE HANGING HEART T-LIGHT HOLDER,50,2026-02-02 12:53:00,2.76,12210,Germany
537421,22633,HAND WARMER UNION JACK,45,2026-02-25 16:20:00,1.51,15110,Italy
537422,84406B,CREAM CUPID HEARTS COAT HANGER,15,2026-02-23 14:54:00,9.71,15091,Italy
537423,71053,WHITE METAL LANTERN,30,2026-02-14 23:32:00,9.56,15852,Germany
537424,85123A,WHITE HANGING HEART T-LIGHT HOLDER,37,2026-02-01 11:44:00,4.89,12722,Germany
537425,22633,HAND WARMER UNION JACK,37,2026-02-07 08:47:00,9.54,14335,France
537426,22633,HAND WARMER UNION JACK,43,2026-02-20 09:04:00,5.12,15651,France
537427,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2026-02-20 09:36:00,7.38,12159,UK
537428,85123A,WHITE HANGING HEART T-LIGHT HOLDER,45,2026-02-17 03:04:00,1.22,13772,Italy
537429,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,39,2026-02-26 01:57:00,9.73,16398,Spain
537430,84406B,CREAM CUPID HEARTS COAT HANGER,21,2026-02-23 13:35:00,1.28,17018,UK
537431,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2026-02-11 15:48:00,1.01,13373,Italy
537432,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2026-02-21 06:05:00,9.98,16223,France
537433,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,2026-02-19 09:26:00,4.6,13851,Spain
537434,22633,HAND WARMER UNION JACK,47,2026-02-08 19:44:00,2.63,13245,Germany
537435,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2026-02-12 14:24:00,2.28,17666,Spain
537436,22633,HAND WARMER UNION JACK,7,2026-02-09 16:55:00,4.7,14084,Germany
537437,85123A,WHITE HANGING HEART T-LIGHT HOLDER,41,2026-02-12 15:34:00,6.46,14976,Italy
537438,84406B,CREAM CUPID HEARTS COAT HANGER,30,2026-02-20 21:24:00,7.21,16285,Germany
537439,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,5,2026-02-24 13:31:00,9.04,13969,UK
537440,71053,WHITE METAL LANTERN,16,2026-02-11 01:04:00,7.86,13659,Germany
537441,71053,WHITE METAL LANTERN,19,2026-02-06 18:39:00,9.17,14869,Italy
537442,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,21,2026-02-14 22:13:00,2.61,17976,France
537443,85123A,WHITE HANGING HEART T-LIGHT HOLDER,50,2026-02-12 13:47:00,6.36,16606,Spain
537444,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,38,2026-02-05 06:24:00,2.18,12816,Germany
537445,22633,HAND WARMER UNION JACK,36,2026-02-05 21:28:00,6.64,16625,France
537446,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,28,2026-02-25 07:11:00,5.59,14061,Spain
537447,84406B,CREAM CUPID HEARTS COAT HANGER,5,2026-02-09 23:56:00,8.29,17647,France
537448,84406B,CREAM CUPID HEARTS COAT HANGER,5,2026-02-13 04:48:00,2.06,13279,France
537449,71053,WHITE METAL LANTERN,26,2026-02-12 23:10:00,3.05,14825,Italy
537450,22633,HAND WARMER UNION JACK,2,2026-02-06 15:43:00,9.63,16653,France
537451,22633,HAND WARMER UNION JACK,32,2026-02-16 21:01:00,4.38,16090,France
537452,85123A,WHITE HANGING HEART T-LIGHT HOLDER,28,2026-02-17 17:34:00,7.66,14457,UK
537453,85123A,WHITE HANGING HEART T-LIGHT HOLDER,39,2026-02-08 04:53:00,3.37,13248,Germany
537454,84406B,CREAM CUPID HEARTS COAT HANGER,50,2026-02-24 05:38:00,4.12,16034,Italy
537455,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,9,2026-02-09 21:05:00,9.49,14091,Italy
537456,22633,HAND WARMER UNION JACK,42,2026-02-15 17:48:00,8.46,17159,Italy
537457,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2026-02-16 04:06:00,4.0,14341,Spain
537458,71053,WHITE METAL LANTERN,37,2026-02-09 03:56:00,8.52,14220,Italy
537459,84406B,CREAM CUPID HEARTS COAT HANGER,9,2026-02-10 10:39:00,6.4,16011,France
537460,85123A,WHITE HANGING HEART T-LIGHT HOLDER,38,2026-02-18 10:36:00,1.61,16924,Germany
537461,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,36,2026-02-20 17:58:00,4.62,17092,Italy
537462,84406B,CREAM CUPID HEARTS COAT HANGER,38,2026-02-21 11:53:00,7.75,15323,France
537463,22633,HAND WARMER UNION JACK,18,2026-02-20 07:04:00,5.6,12487,Italy
537464,22633,HAND WARMER UNION JACK,34,2026-02-03 02:25:00,8.43,13734,France
537465,22633,HAND WARMER UNION JACK,3,2026-02-02 21:09:00,3.93,15393,UK
537466,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,2026-02-20 06:00:00,5.88,15411,France
537467,22633,HAND WARMER UNION JACK,44,2026-02-02 03:22:00,5.11,14109,France
537468,84406B,CREAM CUPID HEARTS COAT HANGER,47,2026-02-04 06:32:00,8.84,13270,UK
537469,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,44,2026-02-16 03:25:00,8.2,17419,France
537470,84406B,CREAM CUPID HEARTS COAT HANGER,38,2026-02-06 05:40:00,3.71,13847,Germany
537471,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2026-02-09 01:26:00,9.8,13178,France
537472,22633,HAND WARMER UNION JACK,21,2026-02-20 19:34:00,9.8,12443,France
537473,85123A,WHITE HANGING HEART T-LIGHT HOLDER,45,2026-02-20 06:28:00,4.66,14639,Italy
537474,71053,WHITE METAL LANTERN,29,2026-02-05 04:08:00,6.44,12910,France
537475,71053,WHITE METAL LANTERN,50,2026-02-11 19:48:00,1.71,17648,Spain
537476,22633,HAND WARMER UNION JACK,49,2026-02-15 02:49:00,6.89,13071,Spain
537477,71053,WHITE METAL LANTERN,40,2026-02-11 18:31:00,7.09,13361,UK
537478,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2026-02-10 07:08:00,8.68,12493,Italy
537479,22633,HAND WARMER UNION JACK,40,2026-02-18 06:15:00,3.11,17928,Germany
537480,71053,WHITE METAL LANTERN,38,2026-02-18 01:10:00,8.07,16812,Germany
537481,71053,WHITE METAL LANTERN,9,2026-02-16 02:59:00,4.61,17103,Spain
537482,85123A,WHITE HANGING HEART T-LIGHT HOLDER,31,2026-02-03 19:42:00,7.32,12260,UK
537483,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,20,2026-02-26 04:15:00,6.24,15772,Germany
537484,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,41,2026-02-08 06:28:00,9.19,15215,France
537485,84406B,CREAM CUPID HEARTS COAT HANGER,26,2026-02-02 19:58:00,1.57,17615,Italy
537486,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2026-02-03 16:08:00,5.66,12864,UK
537487,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,49,2026-02-08 18:59:00,8.91,17249,France
537488,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2026-02-21 23:04:00,8.14,12070,Italy
537489,22633,HAND WARMER UNION JACK,35,2026-02-09 20:40:00,3.26,17611,UK
537490,71053,WHITE METAL LANTERN,14,2026-02-05 19:09:00,4.86,17222,UK
537491,71053,WHITE METAL LANTERN,20,2026-02-02 20:48:00,7.3,15289,Spain
537492,71053,WHITE METAL LANTERN,34,2026-02-15 22:22:00,8.56,16241,Italy
537493,85123A,WHITE HANGING HEART T-LIGHT HOLDER,40,2026-02-09 19:25:00,4.18,17154,Italy
537494,71053,WHITE METAL LANTERN,17,2026-02-24 17:20:00,8.34,13224,UK
537495,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,40,2026-02-17 22:45:00,8.35,16465,Spain
537496,22633,HAND WARMER UNION JACK,9,2026-02-14 01:59:00,7.61,17941,Germany
537497,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,10,2026-02-02 17:32:00,3.01,12561,Spain
537498,22633,HAND WARMER UNION JACK,28,2026-02-03 04:21:00,6.4,17850,France
537499,85123A,WHITE HANGING HEART T-LIGHT HOLDER,16,2026-02-09 06:35:00,2.29,14293,Spain
537500,71053,WHITE METAL LANTERN,25,2026-02-15 10:45:00,7.94,16642,France
537501,85123A,WHITE HANGING HEART T-LIGHT HOLDER,30,2026-02-24 05:16:00,3.96,16254,UK
537502,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2026-02-10 16:35:00,3.86,17125,UK
537503,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,44,2026-02-14 03:39:00,6.17,12994,UK
537504,22633,HAND WARMER UNION JACK,19,2026-02-16 11:42:00,6.47,14766,France
537505,84406B,CREAM CUPID HEARTS COAT HANGER,8,2026-02-06 04:10:00,5.3,12002,Spain
537506,84406B,CREAM CUPID HEARTS COAT HANGER,43,2026-02-22 21:28:00,4.8,16095,Spain
537507,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,39,2026-02-15 14:15:00,4.98,15251,Italy
537508,84406B,CREAM CUPID HEARTS COAT HANGER,26,2026-02-24 17:47:00,1.78,16357,Italy
537509,85123A,WHITE HANGING HEART T-LIGHT HOLDER,38,2026-02-20 22:31:00,1.24,17335,UK
537510,71053,WHITE METAL LANTERN,31,2026-02-10 21:53:00,1.22,16742,France
537511,84406B,CREAM CUPID HEARTS COAT HANGER,19,2026-02-09 01:41:00,4.6,15214,Italy
537512,22633,HAND WARMER UNION JACK,32,2026-02-16 06:46:00,8.32,17726,Spain
537513,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,20,2026-02-08 01:53:00,3.84,14847,Spain
537514,71053,WHITE METAL LANTERN,37,2026-02-17 07:55:00,8.2,15219,Spain
537515,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,2026-02-08 18:46:00,3.68,16872,France
537516,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,12,2026-02-15 08:22:00,5.34,12535,France
537517,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2026-02-03 05:18:00,8.14,16905,France
537518,22633,HAND WARMER UNION JACK,6,2026-02-21 12:40:00,9.03,13604,Spain
537519,84406B,CREAM CUPID HEARTS COAT HANGER,15,2026-02-20 06:11:00,8.45,14223,France
537520,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2026-02-06 13:26:00,8.7,13322,France
537521,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,49,2026-02-06 16:12:00,7.43,12033,Germany
537522,84406B,CREAM CUPID HEARTS COAT HANGER,30,2026-02-05 02:58:00,5.77,14024,Italy
537523,84406B,CREAM CUPID HEARTS COAT HANGER,22,2026-02-24 06:13:00,8.6,13877,Spain
537524,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,21,2026-02-03 22:07:00,3.74,13984,Spain
537525,85123A,WHITE HANGING HEART T-LIGHT HOLDER,27,2026-02-12 17:05:00,2.86,12998,France
537526,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,22,2026-02-11 23:24:00,4.26,15045,Germany
537527,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,12,2026-02-15 03:20:00,5.61,12126,France
537528,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,12,2026-02-08 16:52:00,9.52,13687,France
537529,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,9,2026-02-17 09:07:00,3.26,14635,Italy
537530,71053,WHITE METAL LANTERN,10,2026-02-06 13:35:00,3.2,17011,Germany
537531,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,5,2026-02-14 04:03:00,9.08,12554,UK
537532,71053,WHITE METAL LANTERN,36,2026-02-18 01:55:00,5.02,15464,France
537533,85123A,WHITE HANGING HEART T-LIGHT HOLDER,21,2026-02-11 01:23:00,7.62,14711,Italy
537534,22633,HAND WARMER UNION JACK,13,2026-02-11 21:41:00,1.27,16662,Spain
537535,71053,WHITE METAL LANTERN,32,2026-02-18 07:41:00,7.96,14958,UK
537536,85123A,WHITE HANGING HEART T-LIGHT HOLDER,38,2026-02-02 04:40:00,4.28,15753,Germany
537537,22633,HAND WARMER UNION JACK,40,2026-02-12 12:46:00,3.22,14447,Spain
537538,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,36,2026-02-17 14:51:00,7.59,16062,Germany
537539,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2026-02-18 08:34:00,5.93,17953,Spain
537540,71053,WHITE METAL LANTERN,37,2026-02-23 03:35:00,3.61,14888,UK
537541,71053,WHITE METAL LANTERN,34,2026-02-12 10:10:00,5.8,13613,Spain
537542,71053,WHITE METAL LANTERN,13,2026-02-21 06:56:00,1.03,13335,Germany
537543,84406B,CREAM CUPID HEARTS COAT HANGER,26,2026-02-25 08:37:00,9.73,12204,Spain
537544,22633,HAND WARMER UNION JACK,37,2026-02-11 10:55:00,1.75,13865,Germany
537545,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2026-02-09 09:18:00,1.7,13430,UK
537546,71053,WHITE METAL LANTERN,35,2026-02-06 14:58:00,2.93,14885,Spain
537547,84406B,CREAM CUPID HEARTS COAT HANGER,33,2026-02-03 01:31:00,7.47,12939,UK
537548,84406B,CREAM CUPID HEARTS COAT HANGER,41,2026-02-18 08:00:00,4.51,17463,Germany
537549,22633,HAND WARMER UNION JACK,31,2026-02-06 18:57:00,8.5,12706,Germany
537550,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14,2026-02-15 08:42:00,8.52,15601,UK
537551,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,50,2026-02-16 17:09:00,8.97,14153,Italy
537552,84406B,CREAM CUPID HEARTS COAT HANGER,18,2026-02-12 01:01:00,5.29,14808,UK
537553,71053,WHITE METAL LANTERN,47,2026-02-18 03:15:00,8.17,15369,Spain
537554,71053,WHITE METAL LANTERN,32,2026-02-13 11:44:00,3.86,15789,UK
537555,84406B,CREAM CUPID HEARTS COAT HANGER,16,2026-02-03 19:05:00,2.99,13678,Germany
537556,84406B,CREAM CUPID HEARTS COAT HANGER,39,2026-02-14 09:53:00,1.06,17259,Spain
537557,85123A,WHITE HANGING HEART T-LIGHT HOLDER,48,2026-02-02 13:27:00,5.52,16884,Italy
537558,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,23,2026-02-11 05:05:00,1.35,14920,France
537559,71053,WHITE METAL LANTERN,33,2026-02-09 10:36:00,7.54,17087,Spain
537560,71053,WHITE METAL LANTERN,16,2026-02-16 18:27:00,2.04,16964,Spain
537561,84406B,CREAM CUPID HEARTS COAT HANGER,17,2026-02-04 04:18:00,4.64,16317,Germany
537562,22633,HAND WARMER UNION JACK,34,2026-02-23 15:58:00,9.58,12474,UK
537563,85123A,WHITE HANGING HEART T-LIGHT HOLDER,17,2026-02-08 23:55:00,6.32,17178,France
537564,71053,WHITE METAL LANTERN,2,2026-02-02 12:23:00,1.17,12453,UK
537565,22633,HAND WARMER UNION JACK,50,2026-02-19 22:42:00,9.13,17725,Spain
537566,22633,HAND WARMER UNION JACK,14,2026-02-03 07:25:00,1.91,13530,Germany
537567,84406B,CREAM CUPID HEARTS COAT HANGER,15,2026-02-03 23:11:00,1.45,14820,Italy
537568,22633,HAND WARMER UNION JACK,35,2026-02-20 14:02:00,6.04,14611,UK
537569,85123A,WHITE HANGING HEART T-LIGHT HOLDER,29,2026-02-19 03:13:00,4.76,13027,Germany
537570,84406B,CREAM CUPID HEARTS COAT HANGER,29,2026-02-10 07:24:00,9.38,12872,Italy
537571,22633,HAND WARMER UNION JACK,11,2026-02-15 16:08:00,6.12,16653,Germany
537572,84406B,CREAM CUPID HEARTS COAT HANGER,50,2026-02-25 01:21:00,3.37,14226,Germany
537573,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2026-02-05 08:36:00,6.63,12116,Italy
537574,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,40,2026-02-17 13:47:00,4.67,16284,Spain
537575,22633,HAND WARMER UNION JACK,4,2026-02-25 21:35:00,2.46,12405,France
537576,22633,HAND WARMER UNION JACK,26,2026-02-19 04:20:00,2.75,16505,Germany
537577,84406B,CREAM CUPID HEARTS COAT HANGER,5,2026-02-16 07:05:00,6.01,15216,UK
537578,71053,WHITE METAL LANTERN,19,2026-02-20 17:09:00,2.85,13634,France
537579,85123A,WHITE HANGING HEART T-LIGHT HOLDER,43,2026-02-11 22:33:00,4.67,16211,France
537580,71053,WHITE METAL LANTERN,5,2026-02-23 07:09:00,6.17,17329,UK
537581,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,50,2026-02-09 16:41:00,2.54,13952,Spain
537582,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,27,2026-02-18 14:15:00,5.86,17285,Italy
537583,85123A,WHITE HANGING HEART T-LIGHT HOLDER,45,2026-02-15 16:42:00,8.07,17271,Germany
537584,71053,WHITE METAL LANTERN,26,2026-02-16 20:10:00,5.88,14691,Italy
537585,85123A,WHITE HANGING HEART T-LIGHT HOLDER,22,2026-02-22 14:20:00,5.03,14251,UK
537586,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,48,2026-02-15 09:13:00,3.14,13703,Italy
537587,84406B,CREAM CUPID HEARTS COAT HANGER,39,2026-02-22 16:37:00,1.45,13591,Germany
537588,71053,WHITE METAL LANTERN,14,2026-02-08 23:25:00,1.77,12810,Italy
537589,22633,HAND WARMER UNION JACK,5,2026-02-20 21:24:00,2.55,14588,Italy
537590,22633,HAND WARMER UNION JACK,7,2026-02-05 22:14:00,2.56,13630,UK
537591,22633,HAND WARMER UNION JACK,43,2026-02-19 05:47:00,9.53,17886,UK
537592,71053,WHITE METAL LANTERN,29,2026-02-03 13:01:00,5.67,15235,UK
537593,71053,WHITE METAL LANTERN,22,2026-02-15 17:25:00,9.71,14557,UK
537594,22633,HAND WARMER UNION JACK,31,2026-02-21 07:08:00,1.07,13899,Spain
537595,71053,WHITE METAL LANTERN,34,2026-02-16 01:47:00,8.13,15725,France
537596,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,36,2026-02-07 22:26:00,1.19,16224,Spain
537597,22633,HAND WARMER UNION JACK,2,2026-02-23 14:37:00,4.45,16489,France
537598,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,17,2026-02-03 02:39:00,5.56,15848,Germany
537599,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,7,2026-02-18 11:06:00,8.7,13620,UK
537600,84406B,CREAM CUPID HEARTS COAT HANGER,24,2026-02-21 22:31:00,3.0,13308,France
